name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"perf_raw::r1004301A0","perf_raw::r100431EA0","perf_raw::r430076"
"BM_StdLowerBound/8",140061360,5.78792,5.78615,ns,,,,,,148.677,1.04097,31.974
"BM_StdLowerBound/40",55429362,13.3303,13.329,ns,,,,,,398.777,1.34003,74.7898
"BM_StdLowerBound/72",45751449,15.7068,15.7049,ns,,,,,,481.988,1.03788,88.1468
"BM_StdLowerBound/104",41969851,17.1884,17.1869,ns,,,,,,538.16,0.958891,96.4773
"BM_StdLowerBound/136",37996300,18.1941,18.1924,ns,,,,,,566.949,0.59816,102.131
"BM_StdLowerBound/168",36902639,19.1017,19.1002,ns,,,,,,597.892,0.764747,107.222
"BM_StdLowerBound/200",34914448,19.6903,19.6883,ns,,,,,,604.328,1.06149,110.511
"BM_StdLowerBound/232",33840518,20.5203,20.5186,ns,,,,,,628.571,1.47986,115.2
"BM_StdLowerBound/256",33557196,21.0127,21.0101,ns,,,,,,652.325,1.46409,117.943
"BM_StdLowerBound/384",30005798,23.2879,23.286,ns,,,,,,724.708,1.56712,130.735
"BM_StdLowerBound/512",27733570,25.0432,25.0405,ns,,,,,,792.846,1.27383,140.568
"BM_StdLowerBound/640",26853054,25.9948,25.9928,ns,,,,,,827.097,1.04437,145.93
"BM_StdLowerBound/768",26063223,27.1219,27.1191,ns,,,,,,853.504,1.61937,152.286
"BM_StdLowerBound/896",25176288,28.2253,28.2232,ns,,,,,,891.955,1.4962,158.472
"BM_StdLowerBound/1024",24122888,29.1095,29.1063,ns,,,,,,911.95,1.71419,163.428
"BM_StdLowerBound/1152",23592831,29.6241,29.6212,ns,,,,,,940.517,1.06166,166.296
"BM_StdLowerBound/1280",23359067,30.0518,30.0485,ns,,,,,,954.465,1.32877,168.678
"BM_StdLowerBound/1408",22765875,31.196,31.1929,ns,,,,,,996.26,0.971831,175.147
"BM_StdLowerBound/1536",22057835,31.4272,31.4243,ns,,,,,,990.132,1.36613,176.399
"BM_StdLowerBound/1664",22071231,31.5523,31.5484,ns,,,,,,992.982,1.46334,177.089
"BM_StdLowerBound/1792",21751162,32.7072,32.7044,ns,,,,,,1063.87,0.70753,183.65
"BM_StdLowerBound/1920",21128598,33.0807,33.0766,ns,,,,,,1082.29,0.747165,185.688
"BM_StdLowerBound/2048",20705731,33.9727,33.9704,ns,,,,,,1113.73,0.534516,190.727
"BM_StdLowerBound/2048",20923329,33.5385,33.5345,ns,,,,,,1080.34,1.18209,188.243
"BM_StdLowerBound/4096",18571263,37.6069,37.6,ns,,,,,,1203.69,1.30959,211.054
"BM_StdLowerBound/8192",16168485,43.3321,43.3279,ns,,,,,,1387.93,1.47692,243.313
